"","Genes","Re_Set","Re_direction","De_Set","De_direction"
"15211","Xele.ptg000027l.630","ReT08","Down-regulated","DeT09","Down-regulated"
"15213","Xele.ptg000027l.632","None","None","DeT09","Up-regulated"
"15214","Xele.ptg000027l.634","ReT08","Down-regulated","DeT03","Up-regulated"
"15215","Xele.ptg000027l.635","ReT02","Up-regulated","DeT12","Down-regulated"
"15219","Xele.ptg000027l.639","ReT08","Up-regulated","DeT06","Down-regulated"
"15220","Xele.ptg000027l.640","ReT08","Up-regulated","DeT06","Down-regulated"
"15221","Xele.ptg000027l.641","None","None","DeT15","Up-regulated"
"15224","Xele.ptg000027l.644","ReT12","Down-regulated","DeT12","Up-regulated"
"15227","Xele.ptg000027l.647","None","None","DeT12","Down-regulated"
"15228","Xele.ptg000027l.648","ReT08","Up-regulated","DeT12","Down-regulated"
"15229","Xele.ptg000027l.649","None","None","DeT12","Down-regulated"
"15230","Xele.ptg000027l.650","ReT08","Up-regulated","DeT12","Down-regulated"
"15232","Xele.ptg000027l.652","None","None","DeT24","Down-regulated"
"15234","Xele.ptg000027l.654","ReT08","Down-regulated","DeT03","Up-regulated"
"15235","Xele.ptg000027l.656","ReT08","Up-regulated","None","None"
"15236","Xele.ptg000027l.657","ReT12","Down-regulated","DeT03","Up-regulated"
"15237","Xele.ptg000027l.659","None","None","DeT72","Down-regulated"
"15238","Xele.ptg000027l.661","ReT48","Up-regulated","DeT06","Down-regulated"
"15241","Xele.ptg000027l.664","ReT04","Up-regulated","DeT12","Down-regulated"
"15242","Xele.ptg000027l.665","None","None","DeT24","Up-regulated"
"15244","Xele.ptg000027l.667","ReT12","Down-regulated","DeT03","Up-regulated"
"15246","Xele.ptg000027l.669","ReT48","Up-regulated","DeT15","Down-regulated"
"15248","Xele.ptg000027l.671","ReT01","Up-regulated","DeT09","Down-regulated"
"15253","Xele.ptg000027l.680","ReT04","Up-regulated","DeT12","Down-regulated"
"15254","Xele.ptg000027l.681","ReT08","Down-regulated","DeT06","Up-regulated"
"15255","Xele.ptg000027l.682","None","None","DeT15","Down-regulated"
"15256","Xele.ptg000027l.683","ReT08","Up-regulated","DeT12","Down-regulated"
"15257","Xele.ptg000027l.687","ReT08","Up-regulated","None","None"
