"","Genes","Re_Set","Re_direction","De_Set","De_direction"
"3515","Xele.ptg000006l.194","None","None","DeT12","Down-regulated"
"3517","Xele.ptg000006l.197","None","None","DeT09","Down-regulated"
"3518","Xele.ptg000006l.199","ReT04","Up-regulated","DeT12","Down-regulated"
"3519","Xele.ptg000006l.200","ReT12","Down-regulated","DeT12","Up-regulated"
"3521","Xele.ptg000006l.202","ReT48","Up-regulated","DeT12","Down-regulated"
"3524","Xele.ptg000006l.205","None","None","DeT72","Up-regulated"
"3525","Xele.ptg000006l.206","None","None","DeT12","Down-regulated"
"3528","Xele.ptg000006l.209","ReT12","Up-regulated","None","None"
"3529","Xele.ptg000006l.210","ReT48","Up-regulated","DeT12","Down-regulated"
"3532","Xele.ptg000006l.214","ReT12","Down-regulated","None","None"
"3533","Xele.ptg000006l.215","None","None","DeT03","Up-regulated"
"3534","Xele.ptg000006l.216","None","None","DeT03","Up-regulated"
"3537","Xele.ptg000006l.220","ReT02","Up-regulated","DeT03","Down-regulated"
"3539","Xele.ptg000006l.223","ReT08","Up-regulated","None","None"
"3540","Xele.ptg000006l.225","ReT02","Up-regulated","DeT15","Down-regulated"
"3541","Xele.ptg000006l.226","ReT12","Down-regulated","DeT72","Up-regulated"
"3545","Xele.ptg000006l.230","ReT02","Up-regulated","DeT12","Down-regulated"
"3547","Xele.ptg000006l.232","None","None","DeT03","Up-regulated"
"3548","Xele.ptg000006l.234","ReT02","Up-regulated","DeT03","Down-regulated"
"3550","Xele.ptg000006l.239","ReT12","Up-regulated","DeT12","Down-regulated"
"3551","Xele.ptg000006l.240","ReT04","Up-regulated","DeT12","Down-regulated"
"3552","Xele.ptg000006l.242","None","None","DeT03","Down-regulated"
"3553","Xele.ptg000006l.243","ReT48","Up-regulated","DeT24","Down-regulated"
"3554","Xele.ptg000006l.244","ReT08","Up-regulated","DeT03","Down-regulated"
"3555","Xele.ptg000006l.248","ReT04","Up-regulated","DeT03","Down-regulated"
"3557","Xele.ptg000006l.250","None","None","DeT12","Down-regulated"
"3558","Xele.ptg000006l.251","ReT12","Down-regulated","DeT09","Down-regulated"
"3559","Xele.ptg000006l.252","ReT12","Down-regulated","DeT12","Up-regulated"
"3561","Xele.ptg000006l.254","ReT48","Up-regulated","None","None"
"3562","Xele.ptg000006l.255","ReT04","Up-regulated","DeT12","Down-regulated"
"3564","Xele.ptg000006l.257","ReT48","Up-regulated","None","None"
"3566","Xele.ptg000006l.260","ReT12","Up-regulated","DeT06","Down-regulated"
"3567","Xele.ptg000006l.261","None","None","DeT12","Down-regulated"
"3569","Xele.ptg000006l.265","ReT04","Up-regulated","DeT72","Down-regulated"
"3570","Xele.ptg000006l.266","ReT08","Up-regulated","DeT09","Down-regulated"
"3571","Xele.ptg000006l.267","None","None","DeT12","Up-regulated"
"3572","Xele.ptg000006l.269","ReT08","Up-regulated","DeT15","Down-regulated"
"3573","Xele.ptg000006l.270","ReT08","Up-regulated","DeT03","Down-regulated"
"3574","Xele.ptg000006l.271","ReT48","Up-regulated","DeT24","Down-regulated"
"3575","Xele.ptg000006l.272","None","None","DeT12","Down-regulated"
"3578","Xele.ptg000006l.275","None","None","DeT72","Up-regulated"
"3579","Xele.ptg000006l.276","ReT12","Down-regulated","None","None"
"3580","Xele.ptg000006l.277","ReT04","Down-regulated","DeT03","Up-regulated"
"3582","Xele.ptg000006l.279","None","None","DeT15","Down-regulated"
"3584","Xele.ptg000006l.281","ReT08","Down-regulated","DeT12","Up-regulated"
"3588","Xele.ptg000006l.285","ReT48","Down-regulated","DeT03","Down-regulated"
"3590","Xele.ptg000006l.290","ReT12","Up-regulated","DeT15","Down-regulated"
"3592","Xele.ptg000006l.292","ReT48","Up-regulated","DeT12","Down-regulated"
"3595","Xele.ptg000006l.297","ReT08","Up-regulated","None","None"
"3596","Xele.ptg000006l.299","ReT12","Down-regulated","DeT03","Up-regulated"
"3597","Xele.ptg000006l.300","None","None","DeT12","Down-regulated"
"3598","Xele.ptg000006l.301","ReT08","Up-regulated","DeT09","Up-regulated"
"3599","Xele.ptg000006l.304","ReT48","Up-regulated","None","None"
"3600","Xele.ptg000006l.305","ReT48","Down-regulated","DeT12","Up-regulated"
"3601","Xele.ptg000006l.306","ReT08","Down-regulated","DeT03","Up-regulated"
"3604","Xele.ptg000006l.309","ReT08","Up-regulated","DeT03","Up-regulated"
"3605","Xele.ptg000006l.310","None","None","DeT12","Up-regulated"
"3607","Xele.ptg000006l.312","None","None","DeT12","Up-regulated"
"3608","Xele.ptg000006l.313","ReT02","Up-regulated","DeT72","Down-regulated"
"3609","Xele.ptg000006l.314","ReT08","Up-regulated","DeT12","Down-regulated"
"3611","Xele.ptg000006l.319","ReT02","Up-regulated","DeT12","Down-regulated"
"3612","Xele.ptg000006l.320","ReT04","Up-regulated","None","None"
"3616","Xele.ptg000006l.325","None","None","DeT12","Down-regulated"
"3617","Xele.ptg000006l.326","ReT08","Up-regulated","DeT15","Down-regulated"
"3618","Xele.ptg000006l.327","ReT48","Up-regulated","DeT15","Down-regulated"
"3619","Xele.ptg000006l.328","ReT04","Up-regulated","DeT12","Down-regulated"
"3620","Xele.ptg000006l.329","ReT48","Up-regulated","DeT12","Down-regulated"
"3623","Xele.ptg000006l.332","None","None","DeT15","Up-regulated"
"3628","Xele.ptg000006l.342","ReT08","Up-regulated","DeT12","Down-regulated"
"3630","Xele.ptg000006l.344","ReT12","Down-regulated","DeT12","Up-regulated"
"3632","Xele.ptg000006l.346","ReT12","Up-regulated","DeT12","Down-regulated"
"3634","Xele.ptg000006l.348","ReT12","Up-regulated","None","None"
"3635","Xele.ptg000006l.349","ReT48","Up-regulated","DeT72","Down-regulated"
"3637","Xele.ptg000006l.352","None","None","DeT03","Down-regulated"
"3638","Xele.ptg000006l.354","ReT48","Up-regulated","DeT06","Down-regulated"
"3641","Xele.ptg000006l.359","None","None","DeT03","Down-regulated"
"3644","Xele.ptg000006l.362","ReT48","Down-regulated","DeT03","Up-regulated"
"3645","Xele.ptg000006l.363","ReT08","Down-regulated","DeT03","Up-regulated"
"3646","Xele.ptg000006l.364","None","None","DeT12","Down-regulated"
"3650","Xele.ptg000006l.369","ReT48","Up-regulated","None","None"
"3651","Xele.ptg000006l.370","ReT04","Down-regulated","DeT03","Up-regulated"
"3652","Xele.ptg000006l.371","ReT48","Up-regulated","None","None"
"3653","Xele.ptg000006l.373","None","None","DeT03","Up-regulated"
"3655","Xele.ptg000006l.375","ReT08","Down-regulated","None","None"
"3656","Xele.ptg000006l.376","None","None","DeT12","Down-regulated"
"3658","Xele.ptg000006l.378","None","None","DeT06","Down-regulated"
"3659","Xele.ptg000006l.379","None","None","DeT12","Down-regulated"
"3661","Xele.ptg000006l.383","None","None","DeT12","Down-regulated"
"3665","Xele.ptg000006l.387","ReT12","Down-regulated","None","None"
"3666","Xele.ptg000006l.388","ReT48","Up-regulated","DeT15","Down-regulated"
"3667","Xele.ptg000006l.389","ReT08","Up-regulated","DeT12","Down-regulated"
"3668","Xele.ptg000006l.390","ReT08","Down-regulated","DeT03","Up-regulated"
"3669","Xele.ptg000006l.391","None","None","DeT24","Down-regulated"
"3670","Xele.ptg000006l.392","None","None","DeT06","Down-regulated"
"3671","Xele.ptg000006l.394","ReT12","Down-regulated","DeT06","Down-regulated"
"3678","Xele.ptg000006l.402","ReT12","Down-regulated","DeT12","Up-regulated"
"3679","Xele.ptg000006l.403","ReT12","Up-regulated","DeT15","Down-regulated"
"3680","Xele.ptg000006l.404","ReT48","Down-regulated","DeT03","Up-regulated"
"3681","Xele.ptg000006l.406","ReT04","Up-regulated","DeT12","Down-regulated"
"3682","Xele.ptg000006l.407","None","None","DeT09","Down-regulated"
"3684","Xele.ptg000006l.409","ReT04","Up-regulated","DeT12","Down-regulated"
"3685","Xele.ptg000006l.412","ReT04","Down-regulated","DeT03","Up-regulated"
"3688","Xele.ptg000006l.416","ReT08","Down-regulated","DeT12","Up-regulated"
"3689","Xele.ptg000006l.417","ReT08","Up-regulated","DeT15","Down-regulated"
"3690","Xele.ptg000006l.418","ReT12","Down-regulated","DeT72","Up-regulated"
"3691","Xele.ptg000006l.419","None","None","DeT03","Down-regulated"
"3696","Xele.ptg000006l.425","None","None","DeT12","Down-regulated"
"3698","Xele.ptg000006l.427","ReT04","Up-regulated","None","None"
"3702","Xele.ptg000006l.432","None","None","DeT09","Down-regulated"
"3703","Xele.ptg000006l.434","ReT12","Down-regulated","None","None"
"3704","Xele.ptg000006l.436","None","None","DeT12","Up-regulated"
"3706","Xele.ptg000006l.438","ReT02","Up-regulated","DeT12","Down-regulated"
"3707","Xele.ptg000006l.440","ReT12","Down-regulated","DeT15","Up-regulated"
"3708","Xele.ptg000006l.441","ReT04","Up-regulated","DeT12","Down-regulated"
"3710","Xele.ptg000006l.444","ReT04","Up-regulated","DeT06","Up-regulated"
"3711","Xele.ptg000006l.446","ReT08","Up-regulated","DeT03","Down-regulated"
"3712","Xele.ptg000006l.447","ReT02","Up-regulated","DeT12","Down-regulated"
"3716","Xele.ptg000006l.451","ReT08","Up-regulated","DeT06","Down-regulated"
"3717","Xele.ptg000006l.453","ReT48","Up-regulated","DeT03","Down-regulated"
"3721","Xele.ptg000006l.457","None","None","DeT12","Down-regulated"
"3722","Xele.ptg000006l.458","ReT04","Up-regulated","None","None"
"3723","Xele.ptg000006l.459","ReT12","Down-regulated","None","None"
"3724","Xele.ptg000006l.460","None","None","DeT12","Up-regulated"
"3725","Xele.ptg000006l.461","None","None","DeT06","Down-regulated"
"3727","Xele.ptg000006l.463","ReT02","Up-regulated","DeT12","Down-regulated"
"3728","Xele.ptg000006l.464","ReT08","Up-regulated","DeT03","Down-regulated"
"3730","Xele.ptg000006l.466","ReT02","Up-regulated","DeT12","Down-regulated"
"3732","Xele.ptg000006l.468","ReT12","Up-regulated","DeT15","Down-regulated"
"3733","Xele.ptg000006l.469","ReT08","Up-regulated","DeT09","Down-regulated"
"3734","Xele.ptg000006l.470","None","None","DeT24","Down-regulated"
"3735","Xele.ptg000006l.471","ReT08","Down-regulated","DeT12","Up-regulated"
"3737","Xele.ptg000006l.473","ReT02","Up-regulated","DeT72","Down-regulated"
"3738","Xele.ptg000006l.474","ReT04","Up-regulated","DeT12","Down-regulated"
"3743","Xele.ptg000006l.480","ReT08","Down-regulated","DeT03","Up-regulated"
"3744","Xele.ptg000006l.481","ReT02","Up-regulated","DeT72","Down-regulated"
"3745","Xele.ptg000006l.482","ReT48","Up-regulated","DeT24","Down-regulated"
"3747","Xele.ptg000006l.484","None","None","DeT12","Down-regulated"
"3748","Xele.ptg000006l.485","None","None","DeT03","Up-regulated"
"3749","Xele.ptg000006l.487","None","None","DeT12","Down-regulated"
"3750","Xele.ptg000006l.488","ReT48","Down-regulated","DeT03","Up-regulated"
"3751","Xele.ptg000006l.489","ReT08","Up-regulated","DeT03","Down-regulated"
"3752","Xele.ptg000006l.490","ReT04","Up-regulated","DeT24","Down-regulated"
"3753","Xele.ptg000006l.491","ReT08","Up-regulated","DeT24","Down-regulated"
"3754","Xele.ptg000006l.492","ReT02","Up-regulated","None","None"
"3758","Xele.ptg000006l.499","ReT08","Up-regulated","DeT12","Down-regulated"
"3760","Xele.ptg000006l.501","ReT12","Up-regulated","None","None"
"3761","Xele.ptg000006l.502","ReT08","Down-regulated","DeT12","Up-regulated"
"3762","Xele.ptg000006l.503","ReT12","Down-regulated","DeT12","Up-regulated"
"3763","Xele.ptg000006l.504","None","None","DeT06","Down-regulated"
"3765","Xele.ptg000006l.506","ReT02","Up-regulated","DeT03","Down-regulated"
"3766","Xele.ptg000006l.507","None","None","DeT12","Down-regulated"
"3767","Xele.ptg000006l.508","ReT04","Up-regulated","DeT12","Down-regulated"
"3768","Xele.ptg000006l.509","ReT04","Up-regulated","DeT06","Up-regulated"
"3770","Xele.ptg000006l.511","ReT48","Down-regulated","DeT03","Up-regulated"
"3771","Xele.ptg000006l.512","ReT08","Up-regulated","DeT72","Down-regulated"
"3773","Xele.ptg000006l.514","ReT12","Up-regulated","None","None"
"3774","Xele.ptg000006l.515","None","None","DeT03","Up-regulated"
"3775","Xele.ptg000006l.516","ReT04","Up-regulated","DeT15","Down-regulated"
"3776","Xele.ptg000006l.517","ReT48","Up-regulated","None","None"
"3777","Xele.ptg000006l.518","ReT12","Down-regulated","DeT03","Up-regulated"
"3778","Xele.ptg000006l.519","ReT02","Up-regulated","DeT12","Down-regulated"
"3782","Xele.ptg000006l.523","ReT08","Up-regulated","DeT15","Down-regulated"
"3784","Xele.ptg000006l.525","ReT04","Up-regulated","DeT12","Down-regulated"
"3785","Xele.ptg000006l.526","ReT08","Up-regulated","None","None"
"3786","Xele.ptg000006l.528","None","None","DeT12","Down-regulated"
"3789","Xele.ptg000006l.532","ReT08","Down-regulated","DeT09","Down-regulated"
"3791","Xele.ptg000006l.537","ReT12","Down-regulated","DeT03","Up-regulated"
"3792","Xele.ptg000006l.538","ReT08","Down-regulated","DeT03","Up-regulated"
"3793","Xele.ptg000006l.540","None","None","DeT03","Down-regulated"
"3794","Xele.ptg000006l.541","ReT04","Up-regulated","DeT12","Down-regulated"
"3797","Xele.ptg000006l.544","ReT48","Up-regulated","DeT72","Down-regulated"
"3798","Xele.ptg000006l.545","ReT04","Up-regulated","DeT03","Up-regulated"
"3799","Xele.ptg000006l.546","ReT48","Down-regulated","None","None"
"3801","Xele.ptg000006l.548","ReT08","Up-regulated","DeT12","Down-regulated"
"3803","Xele.ptg000006l.550","ReT08","Up-regulated","DeT06","Up-regulated"
"3804","Xele.ptg000006l.551","ReT12","Up-regulated","DeT06","Up-regulated"
"3805","Xele.ptg000006l.552","ReT02","Up-regulated","DeT06","Up-regulated"
"3808","Xele.ptg000006l.555","ReT48","Up-regulated","None","None"
"3810","Xele.ptg000006l.557","None","None","DeT03","Down-regulated"
"3811","Xele.ptg000006l.558","ReT12","Up-regulated","None","None"
"3812","Xele.ptg000006l.559","ReT02","Up-regulated","None","None"
"3814","Xele.ptg000006l.561","ReT04","Up-regulated","DeT09","Down-regulated"
"3815","Xele.ptg000006l.563","ReT12","Up-regulated","DeT12","Down-regulated"
"3817","Xele.ptg000006l.565","ReT08","Up-regulated","DeT12","Down-regulated"
"3821","Xele.ptg000006l.569","None","None","DeT12","Down-regulated"
"3822","Xele.ptg000006l.570","ReT04","Up-regulated","DeT12","Down-regulated"
"3825","Xele.ptg000006l.574","None","None","DeT12","Down-regulated"
"3827","Xele.ptg000006l.576","ReT04","Up-regulated","DeT03","Down-regulated"
"3828","Xele.ptg000006l.577","None","None","DeT03","Down-regulated"
"3829","Xele.ptg000006l.578","ReT48","Up-regulated","DeT15","Down-regulated"
"3830","Xele.ptg000006l.579","ReT04","Up-regulated","DeT12","Down-regulated"
"3831","Xele.ptg000006l.580","ReT04","Up-regulated","DeT03","Up-regulated"
"3832","Xele.ptg000006l.581","ReT08","Up-regulated","None","None"
"3834","Xele.ptg000006l.584","ReT04","Up-regulated","DeT09","Down-regulated"
"3835","Xele.ptg000006l.587","None","None","DeT03","Up-regulated"
"3836","Xele.ptg000006l.588","None","None","DeT12","Up-regulated"
"3837","Xele.ptg000006l.589","ReT08","Down-regulated","DeT03","Up-regulated"
"3839","Xele.ptg000006l.591","None","None","DeT06","Down-regulated"
"3841","Xele.ptg000006l.593","ReT48","Down-regulated","DeT03","Up-regulated"
"3842","Xele.ptg000006l.594","ReT08","Up-regulated","None","None"
"3843","Xele.ptg000006l.596","ReT12","Down-regulated","None","None"
"3845","Xele.ptg000006l.598","None","None","DeT12","Down-regulated"
"3846","Xele.ptg000006l.599","None","None","DeT03","Up-regulated"
"3847","Xele.ptg000006l.600","ReT48","Up-regulated","DeT15","Down-regulated"
"3849","Xele.ptg000006l.602","ReT08","Down-regulated","DeT03","Up-regulated"
"3850","Xele.ptg000006l.603","ReT08","Down-regulated","DeT03","Up-regulated"
"3851","Xele.ptg000006l.604","None","None","DeT03","Up-regulated"
"3854","Xele.ptg000006l.608","ReT08","Up-regulated","DeT09","Down-regulated"
"3856","Xele.ptg000006l.610","ReT48","Up-regulated","None","None"
"3858","Xele.ptg000006l.612","ReT48","Down-regulated","DeT24","Up-regulated"
"3859","Xele.ptg000006l.613","ReT12","Up-regulated","DeT72","Down-regulated"
"3860","Xele.ptg000006l.614","ReT08","Down-regulated","DeT03","Up-regulated"
"3861","Xele.ptg000006l.615","None","None","DeT12","Up-regulated"
"3862","Xele.ptg000006l.616","ReT08","Up-regulated","DeT72","Down-regulated"
"3863","Xele.ptg000006l.617","None","None","DeT03","Down-regulated"
"3864","Xele.ptg000006l.618","ReT04","Down-regulated","DeT12","Down-regulated"
"3865","Xele.ptg000006l.619","ReT12","Down-regulated","DeT15","Up-regulated"
"3867","Xele.ptg000006l.621","ReT12","Down-regulated","None","None"
"3870","Xele.ptg000006l.624","ReT12","Up-regulated","None","None"
"3871","Xele.ptg000006l.625","ReT08","Up-regulated","DeT03","Up-regulated"
"3873","Xele.ptg000006l.627","None","None","DeT12","Down-regulated"
"3874","Xele.ptg000006l.628","None","None","DeT24","Up-regulated"
"3877","Xele.ptg000006l.631","ReT48","Up-regulated","DeT72","Down-regulated"
"3878","Xele.ptg000006l.632","ReT12","Down-regulated","DeT03","Up-regulated"
"3879","Xele.ptg000006l.633","ReT08","Down-regulated","DeT15","Up-regulated"
"3881","Xele.ptg000006l.637","ReT04","Down-regulated","DeT03","Up-regulated"
"3885","Xele.ptg000006l.641","ReT08","Down-regulated","DeT12","Up-regulated"
"3888","Xele.ptg000006l.644","None","None","DeT03","Down-regulated"
"3893","Xele.ptg000006l.652","None","None","DeT09","Down-regulated"
"3894","Xele.ptg000006l.653","ReT08","Down-regulated","None","None"
"3896","Xele.ptg000006l.655","ReT12","Up-regulated","DeT06","Up-regulated"
"3897","Xele.ptg000006l.656","None","None","DeT12","Down-regulated"
"3901","Xele.ptg000006l.660","ReT02","Up-regulated","DeT09","Down-regulated"
"3902","Xele.ptg000006l.661","None","None","DeT12","Down-regulated"
"3904","Xele.ptg000006l.663","ReT08","Down-regulated","DeT03","Up-regulated"
"3905","Xele.ptg000006l.664","ReT12","Down-regulated","DeT03","Up-regulated"
"3910","Xele.ptg000006l.670","ReT48","Up-regulated","DeT12","Down-regulated"
"3911","Xele.ptg000006l.671","None","None","DeT06","Up-regulated"
"3913","Xele.ptg000006l.673","ReT08","Down-regulated","DeT03","Up-regulated"
"3915","Xele.ptg000006l.677","None","None","DeT09","Up-regulated"
"3916","Xele.ptg000006l.678","ReT02","Up-regulated","DeT03","Down-regulated"
"3917","Xele.ptg000006l.679","ReT08","Down-regulated","DeT15","Up-regulated"
"3918","Xele.ptg000006l.680","ReT08","Up-regulated","DeT12","Down-regulated"
"3919","Xele.ptg000006l.682","ReT08","Down-regulated","DeT03","Up-regulated"
"3920","Xele.ptg000006l.684","ReT12","Down-regulated","DeT12","Up-regulated"
"3921","Xele.ptg000006l.685","ReT04","Up-regulated","DeT09","Down-regulated"
"3922","Xele.ptg000006l.688","ReT12","Down-regulated","None","None"
"3923","Xele.ptg000006l.689","ReT04","Up-regulated","DeT24","Down-regulated"
"3926","Xele.ptg000006l.693","ReT08","Up-regulated","DeT09","Down-regulated"
"3927","Xele.ptg000006l.694","ReT08","Up-regulated","DeT12","Down-regulated"
"3931","Xele.ptg000006l.702","ReT12","Down-regulated","DeT24","Up-regulated"
"3933","Xele.ptg000006l.707","ReT02","Up-regulated","DeT12","Down-regulated"
"3934","Xele.ptg000006l.708","ReT04","Up-regulated","DeT03","Up-regulated"
"3935","Xele.ptg000006l.709","ReT08","Up-regulated","DeT03","Up-regulated"
"3936","Xele.ptg000006l.710","None","None","DeT09","Down-regulated"
"3938","Xele.ptg000006l.712","ReT08","Up-regulated","DeT12","Down-regulated"
"3939","Xele.ptg000006l.713","None","None","DeT12","Down-regulated"
"3940","Xele.ptg000006l.715","ReT12","Down-regulated","None","None"
"3941","Xele.ptg000006l.716","ReT08","Down-regulated","DeT12","Down-regulated"
"3943","Xele.ptg000006l.718","ReT08","Up-regulated","DeT24","Down-regulated"
"3946","Xele.ptg000006l.722","None","None","DeT72","Up-regulated"
"3949","Xele.ptg000006l.726","ReT08","Down-regulated","DeT03","Up-regulated"
"3951","Xele.ptg000006l.729","ReT48","Down-regulated","DeT12","Up-regulated"
"3952","Xele.ptg000006l.730","ReT08","Down-regulated","DeT12","Up-regulated"
"3953","Xele.ptg000006l.731","ReT08","Down-regulated","DeT03","Up-regulated"
"3954","Xele.ptg000006l.733","ReT04","Down-regulated","DeT03","Up-regulated"
"3955","Xele.ptg000006l.734","ReT48","Up-regulated","DeT72","Down-regulated"
"3956","Xele.ptg000006l.735","ReT48","Up-regulated","DeT72","Down-regulated"
"3961","Xele.ptg000006l.742","ReT12","Up-regulated","None","None"
"3964","Xele.ptg000006l.747","None","None","DeT03","Down-regulated"
"3966","Xele.ptg000006l.749","ReT02","Up-regulated","DeT12","Up-regulated"
"3967","Xele.ptg000006l.750","ReT08","Up-regulated","None","None"
"3970","Xele.ptg000006l.753","ReT08","Up-regulated","DeT12","Down-regulated"
"3971","Xele.ptg000006l.754","ReT04","Up-regulated","DeT03","Down-regulated"
"3972","Xele.ptg000006l.755","ReT04","Up-regulated","DeT12","Down-regulated"
"3973","Xele.ptg000006l.762","ReT04","Up-regulated","DeT12","Down-regulated"
"3977","Xele.ptg000006l.773","ReT48","Up-regulated","DeT03","Down-regulated"
"3978","Xele.ptg000006l.774","ReT08","Up-regulated","DeT06","Down-regulated"
"3979","Xele.ptg000006l.777","None","None","DeT12","Up-regulated"
"3980","Xele.ptg000006l.779","ReT08","Up-regulated","DeT72","Down-regulated"
"3981","Xele.ptg000006l.780","None","None","DeT24","Up-regulated"
"3984","Xele.ptg000006l.785","ReT12","Up-regulated","None","None"
"3986","Xele.ptg000007l.1","ReT48","Up-regulated","DeT09","Down-regulated"
"3987","Xele.ptg000007l.2","ReT04","Up-regulated","DeT03","Down-regulated"
"3988","Xele.ptg000007l.3","ReT04","Up-regulated","DeT06","Down-regulated"
"3990","Xele.ptg000007l.6","ReT08","Up-regulated","DeT12","Down-regulated"
"3992","Xele.ptg000007l.8","ReT48","Up-regulated","DeT03","Down-regulated"
"3993","Xele.ptg000007l.10","None","None","DeT06","Down-regulated"
"3994","Xele.ptg000007l.13","ReT04","Up-regulated","DeT12","Down-regulated"
"3995","Xele.ptg000007l.14","ReT04","Down-regulated","DeT03","Up-regulated"
"3997","Xele.ptg000007l.16","ReT12","Down-regulated","None","None"
"3998","Xele.ptg000007l.17","ReT48","Up-regulated","DeT72","Down-regulated"
"3999","Xele.ptg000007l.18","ReT02","Up-regulated","DeT12","Down-regulated"
"4001","Xele.ptg000007l.20","None","None","DeT12","Down-regulated"
"4002","Xele.ptg000007l.21","ReT02","Up-regulated","DeT12","Down-regulated"
"4003","Xele.ptg000007l.22","ReT12","Up-regulated","DeT06","Down-regulated"
"4004","Xele.ptg000007l.23","ReT48","Up-regulated","None","None"
"4008","Xele.ptg000007l.27","ReT12","Down-regulated","DeT12","Up-regulated"
"4011","Xele.ptg000007l.31","ReT12","Down-regulated","None","None"
"4013","Xele.ptg000007l.33","ReT04","Up-regulated","DeT12","Down-regulated"
"4014","Xele.ptg000007l.34","ReT12","Up-regulated","DeT09","Up-regulated"
"4015","Xele.ptg000007l.35","ReT02","Up-regulated","None","None"
"4019","Xele.ptg000007l.39","None","None","DeT15","Down-regulated"
"4020","Xele.ptg000007l.40","None","None","DeT09","Up-regulated"
"4021","Xele.ptg000007l.41","ReT04","Up-regulated","DeT12","Down-regulated"
"4022","Xele.ptg000007l.42","None","None","DeT12","Down-regulated"
"4026","Xele.ptg000007l.46","ReT02","Up-regulated","DeT03","Down-regulated"
"4027","Xele.ptg000007l.47","None","None","DeT03","Down-regulated"
"4028","Xele.ptg000007l.48","ReT02","Up-regulated","DeT06","Up-regulated"
"4029","Xele.ptg000007l.49","ReT02","Up-regulated","DeT15","Down-regulated"
"4030","Xele.ptg000007l.50","ReT08","Up-regulated","DeT12","Down-regulated"
"4031","Xele.ptg000007l.51","ReT12","Down-regulated","DeT03","Up-regulated"
"4032","Xele.ptg000007l.52","None","None","DeT12","Down-regulated"
"4033","Xele.ptg000007l.53","ReT02","Up-regulated","DeT12","Down-regulated"
"4035","Xele.ptg000007l.55","ReT08","Up-regulated","DeT15","Down-regulated"
"4038","Xele.ptg000007l.58","None","None","DeT03","Down-regulated"
"4039","Xele.ptg000007l.59","ReT08","Up-regulated","DeT03","Down-regulated"
"4041","Xele.ptg000007l.61","None","None","DeT12","Down-regulated"
"4042","Xele.ptg000007l.62","ReT08","Down-regulated","None","None"
"4044","Xele.ptg000007l.65","ReT12","Up-regulated","DeT06","Down-regulated"
"4045","Xele.ptg000007l.66","ReT12","Up-regulated","DeT03","Down-regulated"
"4048","Xele.ptg000007l.71","None","None","DeT72","Down-regulated"
"4049","Xele.ptg000007l.72","ReT48","Down-regulated","DeT24","Up-regulated"
"4050","Xele.ptg000007l.73","ReT08","Down-regulated","DeT12","Up-regulated"
"4051","Xele.ptg000007l.74","ReT48","Up-regulated","None","None"
"4052","Xele.ptg000007l.75","ReT08","Down-regulated","DeT15","Up-regulated"
"4053","Xele.ptg000007l.76","None","None","DeT03","Up-regulated"
"4054","Xele.ptg000007l.77","ReT04","Up-regulated","DeT06","Up-regulated"
"4055","Xele.ptg000007l.78","None","None","DeT06","Down-regulated"
"4056","Xele.ptg000007l.79","None","None","DeT06","Up-regulated"
"4057","Xele.ptg000007l.80","ReT48","Down-regulated","DeT06","Up-regulated"
"4058","Xele.ptg000007l.81","ReT12","Down-regulated","None","None"
"4059","Xele.ptg000007l.82","ReT08","Down-regulated","DeT03","Up-regulated"
"4060","Xele.ptg000007l.83","None","None","DeT15","Up-regulated"
"4064","Xele.ptg000007l.87","ReT12","Up-regulated","None","None"
"4065","Xele.ptg000007l.88","ReT48","Up-regulated","DeT12","Down-regulated"
"4066","Xele.ptg000007l.90","ReT02","Up-regulated","DeT03","Down-regulated"
"4067","Xele.ptg000007l.91","None","None","DeT24","Down-regulated"
"4068","Xele.ptg000007l.92","ReT04","Up-regulated","DeT12","Down-regulated"
"4070","Xele.ptg000007l.94","ReT08","Up-regulated","None","None"
"4071","Xele.ptg000007l.95","None","None","DeT72","Up-regulated"
"4072","Xele.ptg000007l.96","ReT48","Down-regulated","DeT03","Down-regulated"
"4073","Xele.ptg000007l.97","ReT08","Up-regulated","DeT15","Down-regulated"
"4074","Xele.ptg000007l.98","None","None","DeT72","Down-regulated"
"4075","Xele.ptg000007l.99","ReT08","Up-regulated","DeT72","Down-regulated"
"4076","Xele.ptg000007l.101","ReT48","Down-regulated","DeT12","Up-regulated"
"4080","Xele.ptg000007l.105","ReT48","Down-regulated","None","None"
"4087","Xele.ptg000007l.112","None","None","DeT12","Down-regulated"
"4088","Xele.ptg000007l.114","ReT08","Up-regulated","DeT15","Down-regulated"
"4089","Xele.ptg000007l.115","ReT12","Down-regulated","DeT03","Down-regulated"
"4090","Xele.ptg000007l.116","None","None","DeT72","Down-regulated"
"4091","Xele.ptg000007l.117","ReT08","Up-regulated","DeT12","Down-regulated"
"4093","Xele.ptg000007l.119","ReT04","Down-regulated","DeT03","Up-regulated"
"4094","Xele.ptg000007l.120","ReT08","Down-regulated","DeT03","Up-regulated"
"4095","Xele.ptg000007l.121","ReT48","Up-regulated","None","None"
"4096","Xele.ptg000007l.122","ReT12","Down-regulated","DeT12","Up-regulated"
"4099","Xele.ptg000007l.125","None","None","DeT03","Up-regulated"
"4100","Xele.ptg000007l.126","ReT08","Down-regulated","DeT12","Up-regulated"
"4101","Xele.ptg000007l.127","ReT08","Up-regulated","DeT72","Down-regulated"
